total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
920.394755763,101.247039609,450.645022922,0,46.0930336215,124.558693486,495.93053376,473.066524933,14.1616749024,8.70233392472,2022-12-26 00:00:00
910.525354234,101.247039609,442.86308276,0,46.0930336215,113.312780494,568.915686908,545.864073621,5.66466996096,17.3869433263,2022-12-26 01:00:00
877.307766855,101.247039609,419.955852754,0,46.0930336215,113.312780494,575.855787127,561.487814897,5.66466996096,8.70330226939,2022-12-26 02:00:00
864.120539992,101.247039609,402.911731243,0,46.0930336215,113.312780494,600.433460704,577.38248247,5.66466996096,17.3863082725,2022-12-26 03:00:00
866.955947149,101.247039609,396.185827079,0,46.0930336215,113.312780494,605.720231147,591.352630425,5.66466996096,8.70293076102,2022-12-26 04:00:00
953.681760941,101.247039609,387.639057257,0,100.150657288,148.969399434,587.442677279,573.074326483,5.66466996096,8.70368083494,2022-12-26 05:00:00
934.965518488,101.247039609,369.290180291,0,100.150657288,149.894399434,1073.44290299,1041.89397615,14.1616749024,17.3872519423,2022-12-26 06:00:00
1146.24150849,101.263747892,359.562644905,0,176.471037341,302.612436532,762.341055911,725.314416403,28.3233498048,8.70328970368,2022-12-26 07:00:00
1276.96015859,101.514218416,370.583266125,0,243.2593065,310.10971186,730.493980603,661.71734669,42.4850247072,26.291609206,2022-12-26 08:00:00
1343.82971157,101.657983713,398.049681956,0,243.2593065,310.10971186,700.724714114,617.667517235,56.6466996096,26.4104972699,2022-12-26 09:00:00
1430.07104941,101.778072968,446.322080122,0,243.2593065,302.612436532,651.715207982,582.728848767,42.4850247072,26.5013345079,2022-12-26 10:00:00
1491.67209487,101.956921047,499.965562505,0,243.2593065,310.10971186,652.616327252,546.285072602,70.808374512,35.5228801379,2022-12-26 11:00:00
1515.45589773,102.172655174,520.695761173,0,243.2593065,310.10971186,623.91635845,517.51907666,70.808374512,35.5889072783,2022-12-26 12:00:00
1500.04591899,102.570232418,533.099377678,0,243.2593065,310.10971186,596.427035154,490.204351041,70.808374512,35.4143096008,2022-12-26 13:00:00
1527.34993949,102.940364536,520.691298727,0,243.2593065,302.612436532,548.756631618,456.526625709,56.6466996096,35.5833062995,2022-12-26 14:00:00
1519.40627155,103.425092927,511.805099187,0,243.2593065,302.612436532,496.815409594,418.806459375,42.4850247072,35.5239255121,2022-12-26 15:00:00
